UMLS:C0346787	MONDO:0002975
UMLS:C1148546	MONDO:0002976
UMLS:C0751872	MONDO:0002977
UMLS:C0271100	MONDO:0002970
UMLS:C0206735	MONDO:0002971
UMLS:C0085682	MONDO:0000313
UMLS:C0153502	MONDO:0002972
UMLS:C0334443	MONDO:0002973
UMLS:C4310676	MONDO:0014959
UMLS:C4310677	MONDO:0014958
UMLS:C4310678	MONDO:0014957
UMLS:C4310672	MONDO:0014963
UMLS:C1836005	MONDO:0012300
UMLS:C3501891	MONDO:0012301
UMLS:C4310673	MONDO:0014962
UMLS:C4310674	MONDO:0014961
UMLS:C4310675	MONDO:0014960
UMLS:C4310668	MONDO:0014967
UMLS:C1835967	MONDO:0012304
UMLS:C1835966	MONDO:0012305
UMLS:C4310669	MONDO:0014966
UMLS:C4310670	MONDO:0014965
UMLS:C1835980	MONDO:0012302
UMLS:C0343939	MONDO:0000306
UMLS:C0011640	MONDO:0002967
UMLS:C0024248	MONDO:0002968
UMLS:C0496833	MONDO:0002969
UMLS:C0473876	MONDO:0000321
UMLS:C0275974	MONDO:0000320
UMLS:C0262984	MONDO:0002987
UMLS:C0877611	MONDO:0002988
UMLS:C0855009	MONDO:0002981
UMLS:C1112437	MONDO:0002982
UMLS:C0035290	MONDO:0002984
UMLS:C4310685	MONDO:0014949
UMLS:C4310686	MONDO:0014948
UMLS:C4310687	MONDO:0014947
UMLS:C4310688	MONDO:0014946
UMLS:C4310683	MONDO:0014952
UMLS:C4310684	MONDO:0014951
UMLS:C4284414	MONDO:0014950
UMLS:C4310679	MONDO:0014956
UMLS:C4310680	MONDO:0014955
UMLS:C4310682	MONDO:0014953
UMLS:C1335126	MONDO:0002978
UMLS:C0334244	MONDO:0002979
UMLS:C1883723	MONDO:0002952
UMLS:C0334257	MONDO:0002953
UMLS:C0334256	MONDO:0002954
UMLS:C1336977	MONDO:0002955
UMLS:C1516599	MONDO:0002950
UMLS:C4310696	MONDO:0014936
UMLS:C4310697	MONDO:0014935
UMLS:C4310694	MONDO:0014939
UMLS:C4310692	MONDO:0014941
UMLS:C4310693	MONDO:0014940
UMLS:CN239822	MONDO:0014945
UMLS:C4310689	MONDO:0014944
UMLS:C4310690	MONDO:0014943
UMLS:C4310691	MONDO:0014942
UMLS:C0555191	MONDO:0002949
UMLS:C1367861	MONDO:0002945
UMLS:C0018414	MONDO:0002946
UMLS:C1304295	MONDO:0002947
UMLS:C0346013	MONDO:0002948
UMLS:C1301270	MONDO:0002963
UMLS:C0030584	MONDO:0002965
UMLS:C1336066	MONDO:0002966
UMLS:C1274008	MONDO:0000304
UMLS:C0032586	MONDO:0002960
UMLS:C0276712	MONDO:0000303
UMLS:C0343965	MONDO:0000302
UMLS:C1334362	MONDO:0002961
UMLS:C1333414	MONDO:0002962
UMLS:C0027034	MONDO:0000301
UMLS:C4310706	MONDO:0014927
UMLS:C4310707	MONDO:0014926
UMLS:C4310708	MONDO:0014925
UMLS:C4310709	MONDO:0014924
UMLS:C4310704	MONDO:0014929
UMLS:C4310705	MONDO:0014928
UMLS:C4310703	MONDO:0014930
UMLS:C4310699	MONDO:0014934
UMLS:C4310700	MONDO:0014933
UMLS:C4310701	MONDO:0014932
UMLS:C4310702	MONDO:0014931
UMLS:C1275193	MONDO:0002956
UMLS:C1519182	MONDO:0002957
UMLS:C1519320	MONDO:0002958
UMLS:C0700594	MONDO:0002959
UMLS:C0410179	MONDO:0000355
UMLS:C0334422	MONDO:0024323
UMLS:CN201467	MONDO:0000359
UMLS:CN221583	MONDO:0000358
UMLS:C1275227	MONDO:0024325
UMLS:C4048705	MONDO:0000351
UMLS:C1512779	MONDO:0024320
UMLS:C1853360	MONDO:0012344
UMLS:C1853354	MONDO:0012345
UMLS:C4512054	MONDO:0012342
UMLS:C1853364	MONDO:0012343
UMLS:C1853296	MONDO:0012349
UMLS:C1853345	MONDO:0012346
UMLS:C1853298	MONDO:0012347
UMLS:C0348165	MONDO:0024318
UMLS:C1533041	MONDO:0000365
UMLS:C0744273	MONDO:0024310
UMLS:C0014238	MONDO:0024315
UMLS:C0242723	MONDO:0024314
UMLS:C0740652	MONDO:0000369
UMLS:C1298685	MONDO:0024317
UMLS:C0679362	MONDO:0000368
UMLS:C0154548	MONDO:0024316
UMLS:C0152073	MONDO:0000367
