name	id
detection of gravity	GO:0009590
detection of abiotic stimulus	GO:0009582
determinate inflorescence morphogenesis	GO:0048282
inflorescence morphogenesis	GO:0048281
negative regulation of oskar mrna translation	GO:0007319
regulation of oskar mrna translation	GO:0046011
n-acetylcitrulline deacetylase activity	GO:0043909
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	GO:0016811
negative regulation of cellular process	GO:0048523
regulation of cellular process	GO:0050794
phenanthrene 1,2-monooxygenase activity	GO:0018647
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, nad(p)h as one donor, and incorporation of one atom of oxygen	GO:0016709
cellular response to inorganic substance	GO:0071241
response to inorganic substance	GO:0010035
alpha-heterochromatin	GO:0005723
pericentric heterochromatin	GO:0005721
glucosyltransferase activity	GO:0046527
hexosyltransferase activity	GO:0016758
release from viral latency	GO:0019046
viral process	GO:0016032
molybdopterin cofactor metabolic process	GO:0043545
prosthetic group metabolic process	GO:0051189
deacetyl-[citrate-(pro-3s)-lyase] s-acetyltransferase activity	GO:0047187
catalytic activity, acting on a protein	GO:0140096
neural tube development	GO:0021915
developmental process	GO:0032502
nociceptin receptor binding	GO:0031853
opioid receptor binding	GO:0031628
photosystem i stabilization	GO:0042550
regulation of photosynthesis, light reaction	GO:0042548
specification of metanephric connecting tubule identity	GO:0072294
specification of metanephric nephron tubule identity	GO:0072293
rhythmic process	GO:0048511
biological_process	GO:0008150
viteagnusin d synthase activity	GO:0062203
carbon-oxygen lyase activity, acting on phosphates	GO:0016838
calcium-dependent outer dynein arm binding	GO:0120152
calcium-dependent protein binding	GO:0048306
replicative transposition, dna-mediated	GO:0098039
transposition, dna-mediated	GO:0006313
posterior lateral line neuromast primordium migration	GO:0048920
neuromast primordium migration	GO:0048883
aminoglycoside 1-n-acetyltransferase activity	GO:0034070
aminoglycoside n-acetyltransferase activity	GO:0034069
nedd8 ligase activity	GO:0061663
nedd8 transferase activity	GO:0019788
trna u34 thiol-transferase activity	GO:0106054
sulfurtransferase activity	GO:0016783
pyramidal neuron migration to cerebral cortex	GO:0021852
neuron migration	GO:0001764
adhesion of symbiont to host epithelial cell	GO:0044651
adhesion of symbiont to host cell	GO:0044650
regulation of systemic arterial blood pressure by aortic arch baroreceptor feedback	GO:0003026
nervous system process involved in regulation of systemic arterial blood pressure	GO:0001976
diterpene phytoalexin precursor biosynthetic process pathway	GO:0051504
terpene biosynthetic process	GO:0046246
iprodione amidohydrolase activity	GO:0018748
synaptic ribbon	GO:0098681
intracellular non-membrane-bounded organelle	GO:0043232
collagen type ii trimer	GO:0005585
fibrillar collagen trimer	GO:0005583
basal proximal dendrite	GO:0150017
basal dendrite	GO:0097441
light-activated ion channel activity	GO:0010461
ion channel activity	GO:0005216
alcohol o-butanoyltransferase activity	GO:0034319
alcohol o-acyltransferase activity	GO:0034318
oocyte dorsal/ventral axis specification	GO:0007310
oocyte axis specification	GO:0007309
rubber cis-polyprenylcistransferase activity	GO:0050267
polyprenyltransferase activity	GO:0002094
positive regulation of platelet aggregation in other organism	GO:0035894
modulation of platelet aggregation in other organism	GO:0035892
glomerular epithelium development	GO:0072010
kidney epithelium development	GO:0072073
cell growth mode switching, bipolar to monopolar	GO:0051524
establishment of monopolar cell polarity	GO:0061162
2-aminobenzenesulfonate 2,3-dioxygenase activity	GO:0018627
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, nad(p)h as one donor, and incorporation of two atoms of oxygen into one donor	GO:0016708
bacterial-type flagellum stator complex	GO:0120101
integral component of plasma membrane	GO:0005887
isoamylase activity	GO:0019156
hydrolase activity, hydrolyzing o-glycosyl compounds	GO:0004553
biomineralization	GO:0110148
ureidosuccinase activity	GO:0050386
peptidyl-pyrromethane cofactor linkage	GO:0018160
peptidyl-cysteine modification	GO:0018198
positive regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity	GO:0090216
positive regulation of lipid kinase activity	GO:0090218
anther wall tapetum development	GO:0048658
anatomical structure development	GO:0048856
regulation of membrane potential	GO:0042391
regulation of biological quality	GO:0065008
positive regulation by symbiont of host transcription	GO:1990216
modulation by symbiont of host transcription	GO:0052026
caudal ganglionic eminence cell proliferation	GO:0022021
subpallium cell proliferation in forebrain	GO:0022012
rhombomere 8 structural organization	GO:0021676
rhombomere structural organization	GO:0021595
plasma membrane-derived chromatophore membrane	GO:0042717
photosynthetic membrane	GO:0034357
filamentous growth of a population of unicellular organisms in response to ph	GO:0036177
response to ph	GO:0009268
programmed cell death involved in cell development	GO:0010623
cellular developmental process	GO:0048869
c2 domain binding	GO:0110036
protein domain specific binding	GO:0019904
4-hydroxyglutamate transaminase activity	GO:0047578
transaminase activity	GO:0008483
fucosterol-epoxide lyase activity	GO:0047906
aldehyde-lyase activity	GO:0016832
regulation of translational initiation by eif2 alpha dephosphorylation	GO:0036496
metabolic process	GO:0008152
viral translation	GO:0019081
sperm chromatin decondensation	GO:0035041
chromatin organization	GO:0006325
alpha-beta intraepithelial t cell differentiation	GO:0002299
alpha-beta t cell differentiation	GO:0046632
regulation of histone exchange	GO:1900049
regulation of chromatin organization	GO:1902275
relaxation of vascular associated smooth muscle	GO:0060087
relaxation of smooth muscle	GO:0044557
maintenance of crispr repeat elements	GO:0043571
maintenance of dna repeat elements	GO:0043570
peptidyl-threonine sulfation	GO:0050985
protein sulfation	GO:0006477
endocrocin biosynthetic process	GO:1900602
secondary metabolite biosynthetic process	GO:0044550
2-(methylthio)benzothiazole monooxygenase activity	GO:0034857
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:0016705
ku-dna ligase complex	GO:0070420
nonhomologous end joining complex	GO:0070419
imidazole-containing compound catabolic process	GO:0052805
cellular nitrogen compound catabolic process	GO:0044270
myosin filament disassembly	GO:0031035
myosin filament organization	GO:0031033
replication fork arrest at mating type locus	GO:0011000
replication fork arrest	GO:0043111
pyridine nucleotide salvage	GO:0019365
nucleotide salvage	GO:0043173
neurotransmitter receptor transport, plasma membrane to endosome	GO:0099646
plasma membrane to endosome transport	GO:0048227
regulation of vascular associated smooth muscle cell membrane depolarization	GO:1990736
membrane depolarization	GO:0051899
5-exo-hydroxycamphor dehydrogenase activity	GO:0018452
oxidoreductase activity, acting on the ch-oh group of donors, nad or nadp as acceptor	GO:0016616
centrolateral axis specification	GO:0009947
axis specification	GO:0009798
phenanthrene dioxygenase activity	GO:0018555
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	GO:0016702
vascular endothelial growth factor receptor binding	GO:0005172
growth factor receptor binding	GO:0070851
extracellular microvesicle biogenesis	GO:0140113
extracellular vesicle biogenesis	GO:0140112
anaerobic ribonucleoside-triphosphate reductase complex	GO:0031250
protein-containing complex	GO:0032991
formaldehyde catabolic process	GO:0046294
small molecule catabolic process	GO:0044282
alpha9-beta1 integrin-adam8 complex	GO:0071133
chemosensory jump behavior	GO:0007636
chemosensory behavior	GO:0007635
mammary gland formation	GO:0060592
cd8-positive, alpha-beta t cell proliferation	GO:0035740
cd8-positive, alpha-beta t cell activation	GO:0036037
scf-ylr352w ubiquitin ligase complex	GO:0097674
scf ubiquitin ligase complex	GO:0019005
small nuclear ribonucleoprotein complex	GO:0030532
nuclear protein-containing complex	GO:0140513
8-oxo-7,8-dihydroguanine dna n-glycosylase activity	GO:0034039
oxidized purine nucleobase lesion dna n-glycosylase activity	GO:0008534
host cell lipid droplet	GO:0044186
host cell cytoplasm part	GO:0033655
positive regulation of transcription from rna polymerase ii promoter in response to iron	GO:0010723
regulation of transcription from rna polymerase ii promoter in response to iron	GO:0034395
l-ascorbic acid biosynthetic process via udp-alpha-d-glucuronate	GO:0090532
l-ascorbic acid biosynthetic process	GO:0019853
toxin metabolic process	GO:0009404
secondary metabolic process	GO:0019748
glyceraldehyde-3-phosphate dehydrogenase (nad(p)+) (phosphorylating) activity	GO:0043891
oxidoreductase activity, acting on the aldehyde or oxo group of donors, nad or nadp as acceptor	GO:0016620
ecdysteroid secretion	GO:0045457
steroid hormone secretion	GO:0035929
galactose 1-dehydrogenase activity	GO:0019151
(s)-mandelate dehydrogenase activity	GO:0033720
oxidoreductase activity, acting on ch-oh group of donors	GO:0016614
cytoplasmic translational elongation	GO:0002182
translational elongation	GO:0006414
apical proximal dendrite	GO:0150015
proximal dendrite	GO:1990635
deoxyribodipyrimidine photo-lyase activity	GO:0003904
dna photolyase activity	GO:0003913
oxidoreductase activity, acting on x-h and y-h to form an x-y bond	GO:0046992
oxidoreductase activity	GO:0016491
low-density lipoprotein particle binding	GO:0030169
lipoprotein particle binding	GO:0071813
cellular response to camp	GO:0071320
response to camp	GO:0051591
bulbus arteriosus morphogenesis	GO:0003233
cardiac chamber morphogenesis	GO:0003206
intron homing	GO:0006314
dna recombination	GO:0006310
cellular response to epidermal growth factor stimulus	GO:0071364
response to epidermal growth factor	GO:0070849
active sex chromosome	GO:0098579
sex chromosome	GO:0000803
ursodeoxycholate 7-beta-dehydrogenase (nad+) activity	GO:0106283
steroid dehydrogenase activity, acting on the ch-oh group of donors, nad or nadp as acceptor	GO:0033764
establishment of protein localization to endoplasmic reticulum membrane	GO:0097051
establishment of protein localization to membrane	GO:0090150
8-amino-7-oxononanoate synthase activity	GO:0008710
